iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,0.29686662554740906
1000,-0.89,2.11,9,0.29412123560905457
1500,-1.0,2.0,8,0.296301931142807
2000,-0.89,2.11,9,0.2836603820323944
2500,-1.0,2.0,9,0.2765507996082306
3000,-1.0,2.0,8,0.2821105718612671
3500,-1.0,2.0,8,0.27298504114151
4000,-1.0,2.0,12,0.2789169251918793
4500,-1.0,2.0,9,0.26882463693618774
5000,-1.0,2.0,8,0.26814961433410645
5500,-0.9,2.1,10,0.27099937200546265
6000,-1.0,2.0,10,0.28589195013046265
6500,-1.0,2.0,8,0.251318097114563
7000,-1.0,2.0,10,0.2693188786506653
7500,-0.9,2.1,10,0.26262837648391724
8000,-1.0,2.0,8,0.26549583673477173
8500,-0.9,2.1,10,0.2609644830226898
9000,-1.0,2.0,9,0.26783978939056396
9500,-1.0,2.0,9,0.2529064416885376
10000,-1.0,2.0,8,0.26305174827575684
10500,-1.0,2.0,9,0.2665092647075653
11000,-1.0,2.0,10,0.2666958272457123
11500,-1.0,2.0,8,0.263375461101532
12000,-1.0,2.0,9,0.2582688331604004
12500,-0.9,2.1,10,0.26517751812934875
13000,-1.0,2.0,10,0.25058606266975403
13500,-1.0,2.0,8,0.27287957072257996
14000,-1.0,2.0,11,0.27082279324531555
14500,-1.0,2.0,9,0.2643551230430603
15000,-1.0,2.0,9,0.2578525245189667
15500,-1.0,2.0,9,0.26585718989372253
16000,-1.0,2.0,8,0.24687330424785614
16500,-1.0,2.0,9,0.25251495838165283
17000,-1.0,2.0,10,0.2563928961753845
17500,-1.0,2.0,8,0.27691787481307983
18000,-0.89,2.11,9,0.25089672207832336
18500,-1.0,2.0,10,0.2414400726556778
19000,-1.0,2.0,9,0.26193222403526306
19500,-0.75,2.25,8,0.25856661796569824
20000,-0.89,2.11,9,0.2497512400150299
20500,-0.89,2.11,9,0.2756388187408447
21000,-1.0,2.0,8,0.26337769627571106
21500,-1.0,2.0,9,0.2434854507446289
22000,-1.0,2.0,10,0.28627967834472656
22500,-1.0,2.0,8,0.24465268850326538
23000,-1.0,2.0,10,0.2641350328922272
23500,-1.0,2.0,9,0.24680137634277344
24000,-1.0,2.0,12,0.27134010195732117
24500,-1.0,2.0,9,0.26278042793273926
25000,-1.0,2.0,10,0.24453844130039215
25500,-1.0,2.0,8,0.26140689849853516
26000,-1.0,2.0,8,0.261435329914093
26500,-1.0,2.0,8,0.243021160364151
27000,-1.0,2.0,8,0.2551776170730591
27500,-1.0,2.0,9,0.2635188102722168
28000,-1.0,2.0,8,0.2456626296043396
28500,-1.0,2.0,10,0.26130029559135437
29000,-1.0,2.0,8,0.2650092542171478
29500,-0.9,2.1,10,0.2657163143157959
30000,-1.0,2.0,8,0.2598922848701477
30500,-1.0,2.0,9,0.26067373156547546
31000,-1.0,2.0,9,0.30179542303085327
31500,-1.0,2.0,10,0.2357845902442932
32000,-1.0,2.0,9,0.25242879986763
32500,-1.0,2.0,9,0.24553188681602478
33000,-1.0,2.0,8,0.2610446512699127
33500,-1.0,2.0,9,0.23410336673259735
34000,-1.0,2.0,8,0.2707396447658539
34500,-0.88,2.12,8,0.24930965900421143
35000,-1.0,2.0,13,0.2700931429862976
35500,-1.0,2.0,10,0.2530093789100647
36000,-1.0,2.0,8,0.26938724517822266
36500,-1.0,2.0,11,0.284356027841568
37000,-1.0,2.0,8,0.2786937355995178
37500,-1.0,2.0,10,0.2557319402694702
38000,-1.0,2.0,9,0.2703019380569458
38500,-1.0,2.0,9,0.26766103506088257
39000,-1.0,2.0,8,0.260226309299469
39500,-1.0,2.0,8,0.2748073935508728
40000,-1.0,2.0,10,0.24950246512889862
40500,-1.0,2.0,8,0.27558186650276184
41000,-1.0,2.0,11,0.24862688779830933
41500,-1.0,2.0,8,0.28412994742393494
42000,-1.0,2.0,8,0.27966830134391785
42500,-0.9,2.1,10,0.26923826336860657
43000,-0.89,2.11,9,0.2555592358112335
43500,-1.0,2.0,8,0.2883923649787903
44000,-1.0,2.0,11,0.27719828486442566
44500,-0.88,2.12,8,0.2652536928653717
45000,-1.0,2.0,10,0.2739640176296234
45500,-1.0,2.0,9,0.2616110146045685
46000,-1.0,2.0,8,0.2695785164833069
46500,-1.0,2.0,8,0.2788577377796173
47000,-1.0,2.0,9,0.28646528720855713
47500,-0.89,2.11,9,0.29439929127693176
48000,-1.0,2.0,9,0.25521209836006165
48500,-1.0,2.0,9,0.2742345333099365
49000,-1.0,2.0,9,0.27449914813041687
49500,-1.0,2.0,8,0.2606038451194763
50000,-1.0,2.0,8,0.28005358576774597
50500,-0.8,2.2,10,0.2653796970844269
51000,-1.0,2.0,9,0.26998788118362427
51500,-1.0,2.0,8,0.2789340913295746
52000,-1.0,2.0,11,0.28069305419921875
52500,-0.89,2.11,9,0.2659737765789032
53000,-1.0,2.0,11,0.2843954861164093
53500,-1.0,2.0,11,0.23975923657417297
54000,-1.0,2.0,10,0.2811761200428009
54500,-1.0,2.0,8,0.2548735737800598
55000,-1.0,2.0,9,0.28346893191337585
55500,-1.0,2.0,9,0.25808200240135193
56000,-1.0,2.0,8,0.26162442564964294
56500,-1.0,2.0,8,0.26536428928375244
57000,-1.0,2.0,10,0.2887493371963501
57500,-1.0,2.0,10,0.2807547152042389
58000,-1.0,2.0,10,0.26308849453926086
58500,-1.0,2.0,8,0.2751539349555969
59000,-1.0,2.0,9,0.27031823992729187
59500,-0.91,2.09,11,0.2678055167198181
60000,-1.0,2.0,8,0.28418198227882385
60500,-1.0,2.0,8,0.2701752483844757
61000,-1.0,2.0,9,0.2554126977920532
61500,-1.0,2.0,9,0.26396042108535767
62000,-1.0,2.0,11,0.24784547090530396
62500,-1.0,2.0,8,0.2708665132522583
63000,-1.0,2.0,8,0.26808395981788635
63500,-1.0,2.0,8,0.2792747914791107
64000,-1.0,2.0,8,0.26160919666290283
64500,-1.0,2.0,8,0.26843398809432983
65000,-1.0,2.0,8,0.2723849415779114
